sim_time_s,avg_arrival_delay_s,max_arrival_delay_s,avg_departure_delay_s,max_departure_delay_s
60,0.00,0.00,0.00,0.00
120,13.67,41.00,32.33,53.00
180,28.60,98.00,40.25,64.00
240,37.71,113.00,56.00,119.00
300,59.11,140.00,64.67,119.00
360,75.91,187.00,72.86,122.00
420,83.08,187.00,95.33,175.00
480,93.08,213.00,115.09,225.00
540,102.86,230.00,128.15,225.00
600,112.27,244.00,142.60,238.00
660,108.19,244.00,158.35,286.00
720,120.59,319.00,174.37,314.00
780,137.06,417.00,189.76,347.00
840,125.65,417.00,198.05,372.00
900,155.68,545.00,205.52,372.00
960,188.33,565.00,214.21,414.00
1020,213.35,565.00,223.56,448.00
1080,236.14,565.00,234.08,497.00
1140,253.90,565.00,244.63,519.00
1200,252.25,565.00,255.71,555.00
1260,266.88,565.00,267.93,610.00
1320,273.39,565.00,279.30,610.00
1380,275.54,565.00,301.97,642.00
1440,279.08,647.00,313.42,680.00
1500,284.00,679.00,325.97,740.00
1560,278.17,679.00,344.14,740.00
1620,290.51,809.00,356.97,740.00
1680,298.16,809.00,368.95,740.00
1740,308.71,809.00,381.45,740.00
1800,314.85,809.00,392.36,740.00
1860,315.60,809.00,403.43,740.00
1920,315.83,809.00,415.04,740.00
1980,328.92,957.00,427.06,740.00
2040,353.96,1192.00,433.12,740.00
2100,370.54,1216.00,445.40,795.00
2160,385.06,1216.00,451.56,795.00
2220,389.34,1216.00,458.27,821.00
2280,414.69,1271.00,465.73,876.00
2340,445.02,1475.00,473.96,935.00
2400,461.48,1475.00,488.56,935.00
2460,475.15,1475.00,503.25,939.00
2520,486.46,1475.00,518.19,988.00
2580,499.34,1475.00,525.88,1010.00
2640,523.16,1541.00,534.22,1068.00
2700,522.82,1541.00,551.66,1123.00
2760,524.97,1541.00,568.97,1157.00
2820,541.24,1541.00,577.87,1192.00
2880,555.40,1561.00,595.71,1237.00
2940,570.51,1561.00,604.75,1256.00
3000,585.69,1709.00,623.25,1300.00
3060,590.89,1709.00,640.88,1316.00
3120,605.66,1728.00,657.58,1341.00
3180,617.10,1728.00,673.30,1341.00
3240,616.80,1728.00,687.77,1341.00
3300,624.79,1728.00,701.73,1341.00
3360,627.38,1728.00,715.47,1341.00
3420,638.85,1728.00,729.30,1341.00
3480,645.57,1728.00,742.81,1379.00
3540,658.56,1737.00,755.81,1379.00
3600,669.35,1737.00,769.07,1392.00
3660,672.02,1737.00,781.48,1392.00
3720,681.46,1737.00,793.75,1392.00
3780,685.01,1737.00,806.32,1431.00
3840,684.65,1737.00,819.30,1476.00
3900,687.87,1737.00,832.72,1526.00
3960,685.55,1737.00,845.37,1552.00
4020,691.60,1737.00,857.52,1552.00
4080,690.18,1737.00,868.75,1552.00
4140,693.64,1737.00,879.22,1552.00
4200,701.37,1737.00,889.77,1552.00
4260,701.54,1737.00,900.32,1552.00
4320,703.55,1737.00,910.46,1552.00
4380,702.96,1737.00,920.76,1552.00
4440,705.80,1737.00,930.80,1552.00
4500,712.99,1737.00,940.82,1559.00
4560,712.88,1737.00,951.38,1612.00
4620,715.73,1737.00,961.86,1641.00
4680,716.95,1737.00,971.92,1659.00
4740,719.66,1737.00,981.13,1659.00
4800,718.46,1737.00,990.64,1659.00
4860,726.38,1737.00,1000.36,1674.00
4920,727.62,1737.00,1009.95,1674.00
4980,733.17,1737.00,1019.77,1704.00
5040,738.54,1737.00,1029.20,1729.00
5100,739.57,1737.00,1038.25,1729.00
5160,744.87,1737.00,1047.61,1730.00
5220,748.30,1737.00,1057.36,1776.00
5280,750.33,1737.00,1067.11,1797.00
5340,755.75,1737.00,1076.69,1800.00
5400,764.10,1737.00,1085.24,1800.00
5460,764.73,1737.00,1093.05,1800.00
5520,763.45,1737.00,1100.94,1800.00
5580,768.92,1737.00,1109.19,1800.00
5640,771.48,1737.00,1117.12,1800.00
5700,775.43,1737.00,1124.75,1800.00
5760,776.15,1737.00,1131.25,1800.00
5820,774.80,1737.00,1137.85,1800.00
5880,779.18,1737.00,1144.01,1800.00
5940,777.90,1737.00,1150.27,1800.00
6000,777.72,1737.00,1156.73,1800.00
6060,776.10,1737.00,1163.47,1800.00
6120,776.95,1737.00,1170.35,1800.00
6180,783.52,1737.00,1176.90,1800.00
6240,783.12,1737.00,1183.55,1800.00
6300,781.71,1737.00,1190.08,1800.00
6360,787.16,1737.00,1196.23,1800.00
6420,790.20,1737.00,1201.77,1800.00
6480,795.46,1737.00,1207.13,1800.00
6540,801.13,1737.00,1212.01,1800.00
6600,801.50,1737.00,1217.01,1800.00
6660,805.97,1737.00,1221.71,1800.00
6720,809.99,1737.00,1226.44,1800.00
6780,812.64,1737.00,1231.42,1800.00
6840,813.37,1737.00,1236.61,1800.00
6900,817.03,1737.00,1241.64,1800.00
6960,821.69,1737.00,1246.86,1800.00
7020,826.77,1737.00,1251.87,1800.00
7080,826.62,1737.00,1256.98,1800.00
7140,826.43,1737.00,1261.97,1800.00
7200,828.32,1737.00,1266.90,1800.00
7200,828.32,1737.00,1266.90,1800.00
