sim_time_s,arrival_queue,departure_queue,arrivals_generated,arrivals_processed,arrivals_diverted,departures_generated,departures_processed,departures_cancelled,total_arrival_delay_s,max_arrival_delay_s,total_departure_delay_s,max_departure_delay_s,avg_arrival_delay_s,avg_departure_delay_s
60,0,1,1,1,0,2,1,0,0,0,0,0,0.00,0.00
120,4,3,6,2,0,5,2,0,6,6,26,26,3.00,13.00
180,6,4,9,3,0,7,3,0,69,63,85,59,23.00,28.33
240,7,5,11,4,0,9,4,0,183,114,194,109,45.75,48.50
300,10,5,15,5,0,10,5,0,352,169,351,157,70.40,70.20
360,14,6,20,6,0,12,6,0,577,225,495,157,96.17,82.50
420,13,8,20,7,0,15,7,0,839,262,678,183,119.86,96.86
480,13,10,21,8,0,18,8,0,1138,299,903,225,142.25,112.88
540,14,11,23,9,0,20,9,0,1472,334,1174,271,163.56,130.44
600,15,11,25,10,0,21,10,0,1844,372,1443,271,184.40,144.30
660,16,10,27,11,0,21,11,0,2234,390,1690,271,203.09,153.64
720,18,14,30,12,0,26,12,0,2677,443,1995,305,223.08,166.25
780,19,17,32,13,0,30,13,0,3149,472,2326,331,242.23,178.92
840,22,21,36,14,0,35,14,0,3676,527,2705,379,262.57,193.21
900,22,23,37,15,0,38,15,0,3712,527,3137,432,247.47,209.13
960,23,24,39,16,0,40,16,0,4339,627,3593,456,271.19,224.56
1020,25,25,42,17,0,42,17,0,4983,644,4107,514,293.12,241.59
1080,27,25,45,18,0,43,18,0,5724,741,4656,549,318.00,258.67
1140,27,29,46,19,0,48,19,0,6494,770,5212,556,341.79,274.32
1200,30,29,50,20,0,49,20,0,6504,770,5819,607,325.20,290.95
1260,30,29,51,21,0,50,21,0,6559,770,6452,633,312.33,307.24
1320,31,31,53,22,0,53,22,0,7498,939,7053,633,340.82,320.59
1380,32,32,55,23,0,55,23,0,8168,939,7701,648,355.13,334.83
1440,34,33,58,24,0,57,24,0,9227,1059,8404,703,384.46,350.17
1500,35,36,60,25,0,61,25,0,10036,1059,9157,753,401.44,366.28
1560,39,38,65,26,0,64,26,0,11131,1095,9967,810,428.12,383.35
1620,44,37,71,27,0,64,27,0,11949,1095,10801,834,442.56,400.04
1680,44,41,72,28,0,69,28,0,12938,1095,11672,871,462.07,416.86
1740,44,41,73,29,0,70,29,0,14127,1189,12589,917,487.14,434.10
1800,45,42,75,30,0,72,30,0,15362,1235,13563,974,512.07,452.10
1860,47,45,78,31,0,76,31,0,16212,1235,14575,1012,522.97,470.16
1920,49,48,81,32,0,80,32,0,17545,1333,15634,1059,548.28,488.56
1980,51,49,84,33,0,82,33,0,18165,1333,16739,1105,550.45,507.24
2040,52,50,86,34,0,84,34,0,19173,1333,17898,1159,563.91,526.41
2100,54,52,89,35,0,87,35,0,20235,1333,19109,1211,578.14,545.97
2160,56,55,92,36,0,91,36,0,21503,1333,20349,1240,597.31,565.25
